band,nanometer,noise,BandName
1,0.382669985,0,band_1
2,0.387679994,0,band_2
3,0.392679989,0,band_3
4,0.397700012,0,band_4
5,0.402700007,0,band_5
6,0.407709986,0,band_6
7,0.412719995,0,band_7
8,0.417730004,0,band_8
9,0.422740012,0,band_9
10,0.427749991,0,band_10
11,0.43276,0,band_11
12,0.437770009,0,band_12
13,0.442779988,0,band_13
14,0.447789997,0,band_14
15,0.452800006,0,band_15
16,0.457810014,0,band_16
17,0.462819993,0,band_17
18,0.467830002,0,band_18
19,0.472840011,0,band_19
20,0.47784999,0,band_20
21,0.482859999,0,band_21
22,0.487870008,0,band_22
23,0.492879987,0,band_23
24,0.497880012,0,band_24
25,0.502889991,0,band_25
26,0.5079,0,band_26
27,0.512910008,0,band_27
28,0.517920017,0,band_28
29,0.522930026,0,band_29
30,0.527939975,0,band_30
31,0.532949984,0,band_31
32,0.537959993,0,band_32
33,0.542970002,0,band_33
34,0.547980011,0,band_34
35,0.552990019,0,band_35
36,0.558000028,0,band_36
37,0.563009977,0,band_37
38,0.568019986,0,band_38
39,0.573029995,0,band_39
40,0.578040004,0,band_40
41,0.583050013,0,band_41
42,0.588060021,0,band_42
43,0.593069971,0,band_43
44,0.598070025,0,band_44
45,0.603079975,0,band_45
46,0.608089983,0,band_46
47,0.613099992,0,band_47
48,0.618110001,0,band_48
49,0.62312001,0,band_49
50,0.628130019,0,band_50
51,0.633140028,0,band_51
52,0.638149977,0,band_52
53,0.643159986,0,band_53
54,0.648169994,0,band_54
55,0.653180003,0,band_55
56,0.658190012,0,band_56
57,0.663200021,0,band_57
58,0.66821003,0,band_58
59,0.673219979,0,band_59
60,0.678229988,0,band_60
61,0.683239996,0,band_61
62,0.688250005,0,band_62
63,0.693260014,0,band_63
64,0.698270023,0,band_64
65,0.703279972,0,band_65
66,0.708280027,0,band_66
67,0.713289976,0,band_67
68,0.718299985,0,band_68
69,0.723309994,0,band_69
70,0.728320003,0,band_70
71,0.733330011,0,band_71
72,0.73834002,0,band_72
73,0.743350029,0,band_73
74,0.748359978,0,band_74
75,0.753369987,0,band_75
76,0.758379996,0,band_76
77,0.763390005,0,band_77
78,0.768400013,0,band_78
79,0.773410022,0,band_79
80,0.778419971,0,band_80
81,0.78342998,0,band_81
82,0.788439989,0,band_82
83,0.793449998,0,band_83
84,0.798460007,0,band_84
85,0.803470016,0,band_85
86,0.808480024,0,band_86
87,0.813489974,0,band_87
88,0.818490028,0,band_88
89,0.823499978,0,band_89
90,0.828509986,0,band_90
91,0.833519995,0,band_91
92,0.838530004,0,band_92
93,0.843540013,0,band_93
94,0.848550022,0,band_94
95,0.853559971,0,band_95
96,0.85856998,0,band_96
97,0.863579988,0,band_97
98,0.868589997,0,band_98
99,0.873600006,0,band_99
100,0.878610015,0,band_100
101,0.883620024,0,band_101
102,0.888629973,0,band_102
103,0.893639982,0,band_103
104,0.898649991,0,band_104
105,0.903659999,0,band_105
106,0.908670008,0,band_106
107,0.913680017,0,band_107
108,0.918680012,0,band_108
109,0.923690021,0,band_109
110,0.92869997,0,band_110
111,0.933709979,0,band_111
112,0.938719988,0,band_112
113,0.943729997,0,band_113
114,0.948740005,0,band_114
115,0.953750014,0,band_115
116,0.958760023,0,band_116
117,0.963769972,0,band_117
118,0.968779981,0,band_118
119,0.97378999,0,band_119
120,0.978799999,0,band_120
121,0.983810008,0,band_121
122,0.988820016,0,band_122
123,0.993830025,0,band_123
124,0.998839974,0,band_124
125,1.003849983,0,band_125
126,1.008859992,0,band_126
127,1.013859987,0,band_127
128,1.018869996,0,band_128
129,1.023880005,0,band_129
130,1.028890014,0,band_130
131,1.033900023,0,band_131
132,1.038910031,0,band_132
133,1.04392004,0,band_133
134,1.048930049,0,band_134
135,1.053940058,0,band_135
136,1.058949947,0,band_136
137,1.063959956,0,band_137
138,1.068969965,0,band_138
139,1.073979974,0,band_139
140,1.078989983,0,band_140
141,1.083999991,0,band_141
142,1.08901,0,band_142
143,1.094020009,0,band_143
144,1.099030018,0,band_144
145,1.104040027,0,band_145
146,1.109050035,0,band_146
147,1.114060044,0,band_147
148,1.11906004,0,band_148
149,1.124070048,0,band_149
150,1.129080057,0,band_150
151,1.134089947,0,band_151
152,1.139099956,0,band_152
153,1.144109964,0,band_153
154,1.149119973,0,band_154
155,1.154129982,0,band_155
156,1.159139991,0,band_156
157,1.16415,0,band_157
158,1.169160008,0,band_158
159,1.174170017,0,band_159
160,1.179180026,0,band_160
161,1.184190035,0,band_161
162,1.189200044,0,band_162
163,1.194210052,0,band_163
164,1.199219942,0,band_164
165,1.204229951,0,band_165
166,1.20923996,0,band_166
167,1.214249969,0,band_167
168,1.219259977,0,band_168
169,1.224259973,0,band_169
170,1.229269981,0,band_170
171,1.23427999,0,band_171
172,1.239289999,0,band_172
173,1.244300008,0,band_173
174,1.249310017,0,band_174
175,1.254320025,0,band_175
176,1.259330034,0,band_176
177,1.264340043,0,band_177
178,1.269350052,0,band_178
179,1.274359941,0,band_179
180,1.27936995,0,band_180
181,1.284379959,0,band_181
182,1.289389968,0,band_182
183,1.294399977,0,band_183
184,1.299409986,0,band_184
185,1.304419994,0,band_185
186,1.309430003,0,band_186
187,1.314440012,0,band_187
188,1.319450021,0,band_188
189,1.324450016,0,band_189
190,1.329460025,0,band_190
191,1.334470034,0,band_191
192,1.339480042,0,band_192
193,1.344490051,1,band_193
194,1.349499941,1,band_194
195,1.35450995,1,band_195
196,1.359519958,1,band_196
197,1.364529967,1,band_197
198,1.369539976,1,band_198
199,1.374549985,1,band_199
200,1.379559994,1,band_200
201,1.384570003,1,band_201
202,1.389580011,1,band_202
203,1.39459002,1,band_203
204,1.399600029,1,band_204
205,1.404610038,1,band_205
206,1.409620047,1,band_206
207,1.414630055,1,band_207
208,1.419639945,1,band_208
209,1.424649954,1,band_209
210,1.429649949,1,band_210
211,1.434659958,0,band_211
212,1.439669967,0,band_212
213,1.444679976,0,band_213
214,1.449689984,0,band_214
215,1.454699993,0,band_215
216,1.459710002,0,band_216
217,1.464720011,0,band_217
218,1.46973002,0,band_218
219,1.474740028,0,band_219
220,1.479750037,0,band_220
221,1.484760046,0,band_221
222,1.489770055,0,band_222
223,1.494779944,0,band_223
224,1.499789953,0,band_224
225,1.504799962,0,band_225
226,1.509809971,0,band_226
227,1.51481998,0,band_227
228,1.519829988,0,band_228
229,1.524839997,0,band_229
230,1.529839993,0,band_230
231,1.534850001,0,band_231
232,1.53986001,0,band_232
233,1.544870019,0,band_233
234,1.549880028,0,band_234
235,1.554890037,0,band_235
236,1.559900045,0,band_236
237,1.564910054,0,band_237
238,1.569919944,0,band_238
239,1.574929953,0,band_239
240,1.579939961,0,band_240
241,1.58494997,0,band_241
242,1.589959979,0,band_242
243,1.594969988,0,band_243
244,1.599979997,0,band_244
245,1.604990005,0,band_245
246,1.610000014,0,band_246
247,1.615010023,0,band_247
248,1.620020032,0,band_248
249,1.625030041,0,band_249
250,1.63004005,0,band_250
251,1.635040045,0,band_251
252,1.640050054,0,band_252
253,1.645059943,0,band_253
254,1.650069952,0,band_254
255,1.655079961,0,band_255
256,1.66008997,0,band_256
257,1.665099978,0,band_257
258,1.670109987,0,band_258
259,1.675119996,0,band_259
260,1.680130005,0,band_260
261,1.685140014,0,band_261
262,1.690150023,0,band_262
263,1.695160031,0,band_263
264,1.70017004,0,band_264
265,1.705180049,0,band_265
266,1.710190058,0,band_266
267,1.715199947,0,band_267
268,1.720209956,0,band_268
269,1.725219965,0,band_269
270,1.730229974,0,band_270
271,1.735229969,0,band_271
272,1.740239978,0,band_272
273,1.745249987,0,band_273
274,1.750259995,0,band_274
275,1.755270004,0,band_275
276,1.760280013,0,band_276
277,1.765290022,0,band_277
278,1.770300031,0,band_278
279,1.77531004,0,band_279
280,1.780320048,0,band_280
281,1.785330057,0,band_281
282,1.790339947,0,band_282
283,1.795349956,0,band_283
284,1.800359964,1,band_284
285,1.805369973,1,band_285
286,1.810379982,1,band_286
287,1.815389991,1,band_287
288,1.8204,1,band_288
289,1.825410008,1,band_289
290,1.830420017,1,band_290
291,1.835430026,1,band_291
292,1.840430021,1,band_292
293,1.84544003,1,band_293
294,1.850450039,1,band_294
295,1.855460048,1,band_295
296,1.860470057,1,band_296
297,1.865479946,1,band_297
298,1.870489955,1,band_298
299,1.875499964,1,band_299
300,1.880509973,1,band_300
301,1.885519981,1,band_301
302,1.89052999,1,band_302
303,1.895539999,1,band_303
304,1.900550008,1,band_304
305,1.905560017,1,band_305
306,1.910570025,1,band_306
307,1.915580034,1,band_307
308,1.920590043,1,band_308
309,1.925600052,1,band_309
310,1.930609941,1,band_310
311,1.93561995,1,band_311
312,1.940619946,1,band_312
313,1.945629954,1,band_313
314,1.950639963,1,band_314
315,1.955649972,1,band_315
316,1.960659981,0,band_316
317,1.96566999,0,band_317
318,1.970679998,0,band_318
319,1.975690007,0,band_319
320,1.980700016,0,band_320
321,1.985710025,0,band_321
322,1.990720034,0,band_322
323,1.995730042,0,band_323
324,2.000740051,0,band_324
325,2.005749941,0,band_325
326,2.010760069,0,band_326
327,2.015769958,0,band_327
328,2.020780087,0,band_328
329,2.025789976,0,band_329
330,2.030800104,0,band_330
331,2.035809994,0,band_331
332,2.040819883,0,band_332
333,2.045819998,0,band_333
334,2.050829887,0,band_334
335,2.055840015,0,band_335
336,2.060849905,0,band_336
337,2.065860033,0,band_337
338,2.070869923,0,band_338
339,2.075880051,0,band_339
340,2.08088994,0,band_340
341,2.085900068,0,band_341
342,2.090909958,0,band_342
343,2.095920086,0,band_343
344,2.100929976,0,band_344
345,2.105940104,0,band_345
346,2.110949993,0,band_346
347,2.115959883,0,band_347
348,2.120970011,0,band_348
349,2.1259799,0,band_349
350,2.130990028,0,band_350
351,2.135999918,0,band_351
352,2.141010046,0,band_352
353,2.146009922,0,band_353
354,2.15102005,0,band_354
355,2.15602994,0,band_355
356,2.161040068,0,band_356
357,2.166049957,0,band_357
358,2.171060085,0,band_358
359,2.176069975,0,band_359
360,2.181080103,0,band_360
361,2.186089993,0,band_361
362,2.191099882,0,band_362
363,2.19611001,0,band_363
364,2.2011199,0,band_364
365,2.206130028,0,band_365
366,2.211139917,0,band_366
367,2.216150045,0,band_367
368,2.221159935,0,band_368
369,2.226170063,0,band_369
370,2.231179953,0,band_370
371,2.236190081,0,band_371
372,2.24119997,0,band_372
373,2.246210098,0,band_373
374,2.251209974,0,band_374
375,2.256220102,0,band_375
376,2.261229992,0,band_376
377,2.266239882,0,band_377
378,2.27125001,0,band_378
379,2.276259899,0,band_379
380,2.281270027,0,band_380
381,2.286279917,0,band_381
382,2.291290045,0,band_382
383,2.296299934,0,band_383
384,2.301310062,0,band_384
385,2.306319952,0,band_385
386,2.31133008,0,band_386
387,2.31633997,0,band_387
388,2.321350098,0,band_388
389,2.326359987,0,band_389
390,2.331370115,0,band_390
391,2.336380005,0,band_391
392,2.341389894,0,band_392
393,2.346400023,0,band_393
394,2.351409912,0,band_394
395,2.356410027,0,band_395
396,2.361419916,0,band_396
397,2.366430044,0,band_397
398,2.371439934,0,band_398
399,2.376450062,0,band_399
400,2.381459951,0,band_400
401,2.386470079,0,band_401
402,2.391479969,0,band_402
403,2.396490097,0,band_403
404,2.401499987,0,band_404
405,2.406510115,0,band_405
406,2.411520004,0,band_406
407,2.416529894,0,band_407
408,2.421540022,0,band_408
409,2.426549911,0,band_409
410,2.43156004,0,band_410
411,2.436569929,0,band_411
412,2.441580057,0,band_412
413,2.446589947,0,band_413
414,2.451600075,0,band_414
415,2.456599951,0,band_415
416,2.461610079,0,band_416
417,2.466619968,0,band_417
418,2.471630096,0,band_418
419,2.476639986,0,band_419
420,2.481650114,1,band_420
421,2.486660004,1,band_421
422,2.491669893,1,band_422
423,2.496680021,1,band_423
424,2.501689911,1,band_424
425,2.506700039,1,band_425
426,2.511709929,1,band_426
